frame,split,participant,camera,step,frame_index,segment_start,segment_end,video,verified
P10_webcam01_take_cup_00150.jpg,test,P10,webcam01,take_cup,150,66,236,data/BreakfastII_15fps_qvga_sync/P10/webcam01/P10_tea.avi, yes
P10_webcam01_pour_water_00387.jpg,test,P10,webcam01,pour_water,387,236,541,data/BreakfastII_15fps_qvga_sync/P10/webcam01/P10_tea.avi, yes
P10_webcam01_add_teabag_00602.jpg,test,P10,webcam01,add_teabag,602,541,666,data/BreakfastII_15fps_qvga_sync/P10/webcam01/P10_tea.avi, unclear
P16_cam01_add_teabag_00021.jpg,test,P16,cam01,add_teabag,21,2,42,data/BreakfastII_15fps_qvga_sync/P16/cam01/P16_tea.avi, no
P16_cam01_pour_water_00151.jpg,test,P16,cam01,pour_water,151,42,262,data/BreakfastII_15fps_qvga_sync/P16/cam01/P16_tea.avi, yes
P17_cam01_add_teabag_00149.jpg,test,P17,cam01,add_teabag,149,75,225,data/BreakfastII_15fps_qvga_sync/P17/cam01/P17_tea.avi, no
P17_cam01_pour_water_00394.jpg,test,P17,cam01,pour_water,394,225,565,data/BreakfastII_15fps_qvga_sync/P17/cam01/P17_tea.avi, unclear
P20_cam01_take_cup_00074.jpg,test,P20,cam01,take_cup,74,10,140,data/BreakfastII_15fps_qvga_sync/P20/cam01/P20_tea.avi, no
P21_cam01_add_teabag_00473.jpg,test,P21,cam01,add_teabag,473,392,556,data/BreakfastII_15fps_qvga_sync/P21/cam01/P21_tea.avi, no
P21_cam01_pour_water_00617.jpg,test,P21,cam01,pour_water,617,556,680,data/BreakfastII_15fps_qvga_sync/P21/cam01/P21_tea.avi, yes
P23_cam01_take_cup_00112.jpg,test,P23,cam01,take_cup,112,86,141,data/BreakfastII_15fps_qvga_sync/P23/cam01/P23_tea.avi, yes
P23_cam01_add_teabag_00210.jpg,test,P23,cam01,add_teabag,210,141,281,data/BreakfastII_15fps_qvga_sync/P23/cam01/P23_tea.avi, unclear
P23_cam01_pour_water_00440.jpg,test,P23,cam01,pour_water,440,281,601,data/BreakfastII_15fps_qvga_sync/P23/cam01/P23_tea.avi, yes
P27_cam01_add_teabag_00447.jpg,test,P27,cam01,add_teabag,447,331,566,data/BreakfastII_15fps_qvga_sync/P27/cam01/P27_tea.avi, unclear
P27_cam01_pour_water_00730.jpg,test,P27,cam01,pour_water,730,566,896,data/BreakfastII_15fps_qvga_sync/P27/cam01/P27_tea.avi, yes
P31_cam01_take_cup_00138.jpg,test,P31,cam01,take_cup,138,34,244,data/BreakfastII_15fps_qvga_sync/P31/cam01/P31_tea.avi, yes
P31_cam01_add_teabag_00333.jpg,test,P31,cam01,add_teabag,333,244,424,data/BreakfastII_15fps_qvga_sync/P31/cam01/P31_tea.avi, no
P31_cam01_pour_water_00568.jpg,test,P31,cam01,pour_water,568,424,714,data/BreakfastII_15fps_qvga_sync/P31/cam01/P31_tea.avi, yes
P32_cam01_add_teabag_00189.jpg,test,P32,cam01,add_teabag,189,120,260,data/BreakfastII_15fps_qvga_sync/P32/cam01/P32_tea.avi, yes
P32_cam01_pour_water_00331.jpg,test,P32,cam01,pour_water,331,260,405,data/BreakfastII_15fps_qvga_sync/P32/cam01/P32_tea.avi, yes
P34_cam01_take_cup_00127.jpg,test,P34,cam01,take_cup,127,81,176,data/BreakfastII_15fps_qvga_sync/P34/cam01/P34_tea.avi, no
P36_cam01_add_teabag_00045.jpg,test,P36,cam01,add_teabag,45,11,81,data/BreakfastII_15fps_qvga_sync/P36/cam01/P36_tea.avi, yes
P36_cam01_pour_water_00160.jpg,test,P36,cam01,pour_water,160,81,241,data/BreakfastII_15fps_qvga_sync/P36/cam01/P36_tea.avi, yes
P38_cam01_add_teabag_00025.jpg,test,P38,cam01,add_teabag,25,2,50,data/BreakfastII_15fps_qvga_sync/P38/cam01/P38_tea.avi, unclear
P38_cam01_pour_water_00176.jpg,test,P38,cam01,pour_water,176,50,304,data/BreakfastII_15fps_qvga_sync/P38/cam01/P38_tea.avi, yes
P39_cam01_take_cup_00090.jpg,test,P39,cam01,take_cup,90,51,131,data/BreakfastII_15fps_qvga_sync/P39/cam01/P39_tea.avi, unclear
P40_cam02_take_cup_00170.jpg,test,P40,cam02,take_cup,170,124,219,data/BreakfastII_15fps_qvga_sync/P40/cam02/P40_tea.avi, no
P41_cam01_take_cup_00050.jpg,test,P41,cam01,take_cup,50,31,72,data/BreakfastII_15fps_qvga_sync/P41/cam01/P41_tea.avi, yes
P42_cam01_take_cup_00065.jpg,test,P42,cam01,take_cup,65,11,121,data/BreakfastII_15fps_qvga_sync/P42/cam01/P42_tea.avi, yes
P44_cam01_take_cup_00069.jpg,test,P44,cam01,take_cup,69,10,130,data/BreakfastII_15fps_qvga_sync/P44/cam01/P44_tea.avi, no
P44_cam01_add_teabag_00194.jpg,test,P44,cam01,add_teabag,194,130,260,data/BreakfastII_15fps_qvga_sync/P44/cam01/P44_tea.avi, yes
P44_cam01_pour_water_00411.jpg,test,P44,cam01,pour_water,411,260,565,data/BreakfastII_15fps_qvga_sync/P44/cam01/P44_tea.avi, yes
P47_cam01_take_cup_00051.jpg,test,P47,cam01,take_cup,51,2,102,data/BreakfastII_15fps_qvga_sync/P47/cam01/P47_tea.avi, no
P47_cam01_add_teabag_00158.jpg,test,P47,cam01,add_teabag,158,102,217,data/BreakfastII_15fps_qvga_sync/P47/cam01/P47_tea.avi, yes
P47_cam01_pour_water_00306.jpg,test,P47,cam01,pour_water,306,217,397,data/BreakfastII_15fps_qvga_sync/P47/cam01/P47_tea.avi, yes
P48_cam01_take_cup_00102.jpg,test,P48,cam01,take_cup,102,31,176,data/BreakfastII_15fps_qvga_sync/P48/cam01/P48_tea.avi, no
P48_cam01_pour_water_00260.jpg,test,P48,cam01,pour_water,260,176,346,data/BreakfastII_15fps_qvga_sync/P48/cam01/P48_tea.avi, yes
P48_cam01_add_teabag_00405.jpg,test,P48,cam01,add_teabag,405,346,466,data/BreakfastII_15fps_qvga_sync/P48/cam01/P48_tea.avi, unclear
P50_cam01_take_cup_00093.jpg,test,P50,cam01,take_cup,93,2,187,data/BreakfastII_15fps_qvga_sync/P50/cam01/P50_tea.avi, yes
P50_cam01_add_teabag_00281.jpg,test,P50,cam01,add_teabag,281,187,377,data/BreakfastII_15fps_qvga_sync/P50/cam01/P50_tea.avi, yes
P50_cam01_pour_water_00500.jpg,test,P50,cam01,pour_water,500,377,626,data/BreakfastII_15fps_qvga_sync/P50/cam01/P50_tea.avi, yes
P51_cam01_take_cup_00100.jpg,test,P51,cam01,take_cup,100,21,182,data/BreakfastII_15fps_qvga_sync/P51/cam01/P51_tea.avi, yes
P53_cam02_take_cup_00055.jpg,test,P53,cam02,take_cup,55,11,101,data/BreakfastII_15fps_qvga_sync/P53/cam02/P53_tea.avi, no
P53_cam02_pour_water_00207.jpg,test,P53,cam02,pour_water,207,101,316,data/BreakfastII_15fps_qvga_sync/P53/cam02/P53_tea.avi, yes
P53_cam02_add_teabag_00492.jpg,test,P53,cam02,add_teabag,492,316,671,data/BreakfastII_15fps_qvga_sync/P53/cam02/P53_tea.avi, yes
P54_cam02_take_cup_00063.jpg,test,P54,cam02,take_cup,63,37,92,data/BreakfastII_15fps_qvga_sync/P54/cam02/P54_tea.avi, no
P54_cam02_pour_water_00159.jpg,test,P54,cam02,pour_water,159,92,229,data/BreakfastII_15fps_qvga_sync/P54/cam02/P54_tea.avi, yes
P54_cam02_add_teabag_00485.jpg,test,P54,cam02,add_teabag,485,229,744,data/BreakfastII_15fps_qvga_sync/P54/cam02/P54_tea.avi, unclear
